task1.time,task1.pSTAT5,task1.CIS,task1.SOCS3,task1.SOCS3RNA,task1.CISRNA
0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.015334318799834441,3.872336115272453e-19,3.03855097889802e-15,1.7559427049506707e-17,3.809348838132865e-18
0.5,0.062491427961721295,1.9498700826907584e-16,1.3469290705458108e-12,7.769974679661067e-15,9.617520966367076e-16
0.75,0.1491231444623294,7.380677283274387e-15,4.540811651601386e-11,2.617880388516265e-13,2.4258101618651143e-14
1.0,0.2944705350201033,9.698291141437602e-14,5.337233991721455e-10,3.0761215371822884e-12,2.390241126911493e-13
1.25,0.5324226129650735,7.152641367349724e-13,3.5326475751880126e-09,2.0356854037576438e-11,1.4116537534792758e-12
1.5,0.912733077467362,3.668606029271736e-12,1.63146444702261e-08,9.400203984890373e-11,6.048624047086336e-12
1.75,1.5003008012607817,1.4676022056397606e-11,5.8968046816975146e-08,3.397353507139039e-10,2.082313887765003e-11
2.0,2.372311716923824,4.903572666985069e-11,1.7866221812925438e-07,1.0292726702615514e-09,6.120882439991451e-11
2.25,3.613018933945533,1.4300200619386976e-10,4.7427023677871654e-07,2.7321437754635988e-09,1.5973732234889656e-10
2.5,5.306049360271827,3.7504613587101106e-10,1.1366029709909002e-06,6.547428132530983e-09,3.799829232019702e-10
2.75,7.524386780067882,9.034639110736828e-10,2.5114098214680168e-06,1.4466613877260819e-08,8.392649838117991e-10
3.0,10.318573247365004,2.0299735636064594e-09,5.194303924199979e-06,2.992032056975139e-08,1.7441293651506625e-09
3.25,13.704137912916103,4.3031315464712106e-09,1.0168444965498416e-05,5.857127280372539e-08,3.4438534546313476e-09
3.5,17.649751170424047,8.680652210170402e-09,1.899669673604938e-05,1.0942099977739966e-07,6.508427233746172e-09
3.75,22.068125849559326,1.677623584578573e-08,3.4079678225329864e-05,1.9629601437574818e-07,1.1838636479850215e-08
4.0,26.812338451302423,3.122347558480595e-08,5.898862932721734e-05,3.397648370485972e-07,2.081659808661049e-08
4.25,31.681069784267475,5.619737723177225e-08,9.887775459841809e-05,5.695127064953111e-07,3.55055507376071e-08
4.5,36.436713988290805,9.814188990229665e-08,0.00016097383515191032,9.271612326882546e-07,5.89074187185339e-08
4.75,40.83849132589793,1.6675951016387873e-07,0.00025513182538449417,1.4694679929355132e-06,9.528565389005524e-08
5.0,44.68602713360007,2.763202771623892e-07,0.0003944341935009807,2.2717779686420575e-06,1.505579769563445e-07
5.25,47.85905629977251,4.4736308325481347e-07,0.000595801986509389,3.4315424089068603e-06,2.327633916047486e-07
5.5,50.33376014926974,7.088469002762979e-07,0.0008805727790633544,5.0716468820966036e-06,3.5260070259174174e-07
5.75,52.16766298260733,1.1008180546607977e-06,0.001274996091080744,7.343263942124127e-06,5.240346392347933e-07
6.0,53.464721460086025,1.6776508898152826e-06,0.001810594109525647,1.0427930017312995e-05,7.649612382235215e-07
6.25,54.34054483956823,2.5119066642831475e-06,0.002524341357876127,1.4538579593783075e-05,1.0979206968442337e-06
6.5,54.900073083278734,3.6988496495500954e-06,0.0034586282725841866,1.9919334942298127e-05,1.55084448599412e-06
6.75,55.2284898044128,5.361641728350374e-06,0.004660992032133332,2.6843955527588965e-05,2.1578217653625665e-06
7.0,55.390576575924555,7.657225013687165e-06,0.006183618112393432,3.5612967150471984e-05,2.959870259611856e-06
7.25,55.43372175594442,1.0782895390553878e-05,0.008082633512199754,4.654959147318484e-05,4.005696925121004e-06
7.5,55.392068631159276,1.498351713816405e-05,0.010417238675046842,5.999474675733459e-05,5.3524361852477775e-06
7.75,55.28992845193597,2.0559396064142455e-05,0.01324871232112911,7.630131686434249e-05,7.0663530388265245e-06
8.0,55.14423419014932,2.787478773106187e-05,0.016639345575078977,9.582801323037958e-05,9.223497986866958e-06
8.25,54.967309765656104,3.736689877218719e-05,0.020651377818749938,0.0001189332468833883,1.1910309851646786e-05
8.5,54.767823642091585,4.955542066779782e-05,0.02534596399902851,0.0001459691817049182,1.5224154448661422e-05
8.75,54.5519035503429,6.505249412086694e-05,0.030782212998843934,0.00017727619699753198,1.9273797546999647e-05
9.0,54.323962735442336,8.457306079221748e-05,0.037016340004770526,0.0002131780065770556,2.417980200552432e-05
9.25,54.0871681889691,0.00010894550080030125,0.04410094239022196,0.00025397748917607986,3.0074852915804536e-05
9.5,53.84383471293767,0.00013912253496196504,0.05208442896839206,0.00029995340206256927,3.710399632624748e-05
9.75,53.59562537446349,0.00017619225501654093,0.061010572071556975,0.0003513578019638486,4.542481033272642e-05
10.0,53.343744444517704,0.00022138923545606285,0.07091817595693907,0.0004084141358582427,5.52075100862521e-05
10.25,53.08909260570943,0.00027610573381691534,0.08184092405648086,0.00047131636163478684,6.663494889410298e-05
10.5,52.83236007990677,0.00034190283776580155,0.0938073500566302,0.0005402287818053071,7.990253960184442e-05
10.75,52.57407224638905,0.0004205214501581715,0.10684088460659097,0.0006152863126913098,9.521811580309766e-05
11.0,52.31462837410055,0.0005138930785302744,0.12095997404754709,0.0006965951683147641,0.0001128017283353652
11.25,52.05433879858477,0.0006241503988949939,0.13617827497445867,0.0007842339809449689,0.00013288536955690863
11.5,51.79345318035734,0.0007536375310603099,0.15250491199897645,0.000878255285562185,0.0001557126278091092
11.75,51.53217735660965,0.0009049199509395246,0.16994477653008438,0.0009786872404932967,0.0001815382801657936
12.0,51.27068294998759,0.0010807939792950802,0.18849884789357638,0.0010855354766585853,0.00021062783024767295
12.25,51.0091145772075,0.0012842958028686977,0.20816452568061364,0.0011987850114581731,0.00024325699486074702
12.5,50.74759647089857,0.0015187099897069443,0.22893596662379764,0.0013184021887113837,0.0002797111422151647
12.75,50.48623795171123,0.0017875774592541155,0.2508044198881552,0.0014443366094525852,0.00032028468537843543
13.0,50.225136914392984,0.002094702821370964,0.27375855310445646,0.0015765230094024138,0.00036528043319129246
13.25,49.96438116803404,0.00244416083327545,0.29778475752825256,0.0017148830162192414,0.00041500889312127206
13.5,49.70405195810949,0.0028403032890592594,0.32286745990925403,0.0018593269454030843,0.0004697876046920808
13.75,49.444223313225514,0.0032877641539436914,0.34898939273829344,0.002009755356487294,0.0005299403786558875
14.0,49.18496383536915,0.0037914634848837912,0.37613182561445974,0.0021660603853364225,0.0005957965028063599
14.25,48.92633922051362,0.004356614298459602,0.40427487597592887,0.0023281275334952633,0.0006676900791573486
14.5,48.66840689212092,0.004988721457359939,0.43339759886327195,0.002495836185014189,0.0007459590404123101
14.75,48.41122164721186,0.005693588137133928,0.4634782832992652,0.002669061313167116,0.0008309445059322093
15.0,48.15483317203874,0.006477315366452174,0.49449455382059704,0.0028476740650707484,0.0009229898717705848
15.25,47.899288425354676,0.007346303280375427,0.5264235252651313,0.0030315426530197346,0.0010224400532479858
15.5,47.644630910692996,0.008307253586970735,0.5592419927858431,0.0032205334486474666,0.0011296406628412909
15.75,47.39090146762456,0.009367166477958391,0.5929264751491594,0.003414511232245159,0.0012449372013227432
16.0,47.13813781860695,0.010533341264459048,0.6274533662658297,0.0036133400653242907,0.0013686742567837096
16.25,46.88637482077333,0.011813374703630147,0.6627990207443042,0.0038168837832561575,0.001501194700595949
16.5,46.63564420193698,0.013215156505974567,0.6989397920202426,0.0040250062148231925,0.0016428389178004298
16.75,46.385975024221516,0.014746868921698731,0.7358521523894466,0.00423757187340841,0.0017939440162203725
17.0,46.137393788078356,0.016416980435302417,0.7735126986406655,0.0044544459894210195,0.0019548430930003673
17.25,45.88992475240468,0.018234241666725784,0.8118982149294593,0.004675494872343461,0.0021258645188461343
17.5,45.643589961702105,0.02020768206139081,0.8509857341788393,0.004900586264289083,0.002307331163501551
17.75,45.39840946927564,0.02234660096950101,0.8907525311882365,0.005129589300318716,0.0024995597939515574
18.0,45.154401383023966,0.024660563760739544,0.9311761829900626,0.005362374855987286,0.0027028603354326344
18.25,44.91158189453303,0.027159393637167146,0.9722345754611101,0.005598815585410319,0.0029175352573116192
18.5,44.66996541756456,0.02985316347354174,1.013905917767285,0.0058387860044371576,0.003143878990390084
18.75,44.42956469813947,0.03275218968312121,1.0561687731914762,0.006082162668163543,0.003382177251978691
19.0,44.19039097225175,0.035867021277937366,1.0990020491467796,0.006328824113421596,0.0036327065859664497
19.25,43.95245405586625,0.03920843206653691,1.142385017826446,0.006578650977685345,0.0038957337829144795
19.5,43.71576248460075,0.04278741138127868,1.1862973212219803,0.00683152602796317,0.004171515350608861
19.75,43.48032356445427,0.0466151526801396,1.2307189681572328,0.007087334143717008,0.004460297136120987
20.0,43.246143495336014,0.0507030449574071,1.275630345777419,0.007345962383016069,0.004762313774071199
20.25,43.01322740313113,0.05506266065628214,1.3210122135264446,0.007607299947854232,0.005077788362719154
20.5,42.78157978582657,0.05970574337945148,1.3668456990126872,0.007871238160341716,0.005406932215320808
20.75,42.551204211869454,0.06464420146281323,1.4131123156003562,0.008137670563997614,0.0057499440764724906
21.0,42.32210354687833,0.06989009108425025,1.4597939402110809,0.008406492795923955,0.0061070102758141375
