task1.time,task1.SOCS3,task2.SOCS3,task3.SOCS3,task1.pSTAT5,task2.pSTAT5,task3.pSTAT5,task1.CIS,task2.CIS,task3.CIS
0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0
0.12,4.541788062161024e-18,294.84412630278706,4.538802921045383e-18,0.0035362840375080086,1.0168852602444603e-05,0.0035345919241477255,5.284406236611977e-22,2.2167232361511368e-24,579.9937915131235
0.24,2.1204495162851314e-15,294.84412630249994,2.122900703875246e-15,0.0141304281469001,4.062538617414283e-05,0.014077576043892228,2.687062380104747e-19,8.693622218316682e-22,579.9875892800728
0.36,7.55437474148892e-14,294.84412630249994,7.594562719056545e-14,0.03192860861783983,9.129391888762451e-05,0.031536730751532634,1.0207006440816042e-17,3.1443339912504596e-20,579.9813932945485
0.48,9.429889783265242e-13,294.84412630250006,9.423410950910458e-13,0.0574306699304936,0.0001620990588245757,0.05581819330028912,1.3521255641712252e-16,4.106945077576887e-19,579.9752035502573
0.6,6.588429315467931e-12,294.84412630249994,6.570869833855834e-12,0.09163070403340863,0.0002529657271525931,0.08682614819118781,9.996820294599114e-16,2.9691695012310023e-18,579.9690200409125
0.72,3.193471971341864e-11,294.84412630250006,3.1791380893242865e-11,0.1361335797177638,0.0003638191838961909,0.12446253472400619,5.120434337178605e-15,1.5112118999857684e-17,579.9628427602335
0.84,1.2029709124991233e-10,294.84412630250046,1.1941505324509808e-10,0.19324852908056434,0.0004945850520569556,0.16862677458523648,2.0362278986834414e-14,5.991744759717947e-17,579.956671701946
0.96,3.769284726128141e-10,294.844126302501,3.726479756882267e-10,0.26606038460509324,0.0006451893403274894,0.21921551992793958,6.72964649707619e-14,1.958847443413962e-16,579.9505068597826
1.08,1.0264679876073323e-09,294.844126302503,1.009640820644946e-09,0.3584786775275642,0.0008155584685858287,0.27612242270609816,1.9315525870566088e-13,5.569038365716873e-16,579.9443482274817
1.2,2.5036593764883885e-09,294.8441263025072,2.4470618873468343e-09,0.4752643033263315,0.0010056192898952089,0.3392379256391383,4.961985417215025e-13,1.4185465368174458e-15,579.9381957987879
1.3199999999999998,5.587844838391032e-09,294.8441263025157,5.419975117932043e-09,0.6220332363543453,0.0012152991116827212,0.4084490757239374,1.1654987535563533e-12,3.3056695140390223e-15,579.9320495674527
1.44,1.159457309863138e-08,294.84412630253235,1.114452747857889e-08,0.8052359162583645,0.0014445257175322193,0.4836393607844332,2.543180497696974e-12,7.157870340803947e-15,579.9259095272339
1.56,2.263881442720721e-08,294.8441263025625,2.15295221484182e-08,1.0321112626497775,0.0016932273880930658,0.5646885698207279,5.217862083508449e-12,1.456747763533067e-14,579.9197756718954
1.68,4.19877970955115e-08,294.8441263026147,3.94416914157051e-08,1.3106137058693286,0.001961332920946148,0.651472677705384,1.0160874527077841e-11,2.810208028298632e-14,579.9136479952083
1.7999999999999998,7.452460399812734e-08,294.8441263027011,6.902863764601389e-08,1.6493117752295554,0.0022487716495540214,0.7438637549131277,1.8919870575367218e-11,5.1759853969638485e-14,579.9075264909501
1.92,1.2734819558284306e-07,294.84412630283856,1.1609949198047897e-07,2.057256900301976,0.0025554734614156396,0.841729901781994,3.3888591165690416e-11,9.158142535074232e-14,579.9014111529056
2.04,2.1053955522611294e-07,294.84412630305076,1.8856984524894668e-07,2.5438216270956713,0.002881368815490574,0.9449352100282707,5.867589204333456e-11,1.5643947924550938e-13,579.8953019748661
2.16,3.3812985762911025e-07,294.8441263033683,2.969657117701164e-07,3.1185068929753412,0.003226388758710225,1.0533397497150594,9.860336614672732e-11,2.5904188468543376e-13,579.8891989506313
2.28,5.293112846526805e-07,294.844126303832,4.5498562100224037e-07,3.790719021124827,0.003590464941405024,1.1667995821739878,1.6136709644904548e-10,4.1719391368048725e-13,579.8831020740085
2.4,8.099379224218602e-07,294.8441263044935,6.801205629544233e-07,4.569517984603784,0.003973529631610957,1.2851667999989214,2.579076157863311e-10,6.553654957324515e-13,579.8770113388134
2.52,1.2143693891170273e-06,294.84412630541823,9.94326106768306e-07,5.463339793649489,0.004375515728261604,1.408289593217511,4.035410178986522e-10,1.0066089605363361e-12,579.870926738871
2.6399999999999997,1.7877156423957758e-06,294.8441263066869,1.4247424780494102e-06,6.479697118001943,0.004796356773215359,1.5360123416501605,6.194149403869579e-10,1.5148761514099773e-12,579.8648482680162
2.76,2.5885468789381545e-06,294.84412630839836,2.004457882449709e-06,7.624863645100059,0.005235986962015241,1.6681757335112442,9.343657917878903e-10,2.237789230438791e-12,579.8587759200947
2.88,3.6921348835856854e-06,294.84412631067204,2.7733080861492333e-06,8.903549094114076,0.0056943411532778525,1.8046169092739006,1.3872658316252337e-09,3.2499239690201597e-12,579.8527096889638
3.0,5.194303924523855e-06,294.84412631365007,3.778706210994564e-06,10.318573247370827,0.006171354876627451,1.9451696303272048,2.029973563956658e-09,4.6466673511636154e-12,579.8466495684945
3.12,7.21593490365638e-06,294.8441263175009,5.076496316070514e-06,11.870548285745175,0.006666964339092135,2.089664472054404,2.9309797927822777e-09,6.5487140496048235e-12,579.840595552572
3.2399999999999998,9.908224730414756e-06,294.8441263224214,6.731822971717317e-06,13.557580774270367,0.00718110642986067,2.2379290397703886,4.179920512221533e-09,9.107269490916803e-12,579.8345476350983
3.36,1.3458776847659479e-05,294.8441263286398,8.820010213223752e-06,15.375006241939579,0.0077137187232785495,2.389788207256555,5.8931297211834025e-09,1.2510030606527645e-11,579.8285058099933
3.48,1.8098527818534886e-05,294.8441263364188,1.1427442371057351e-05,17.31516933449995,0.008264739479949322,2.5450643754410263,8.220348818160779e-09,1.6988018541067777e-11,579.8224700711975
3.5999999999999996,2.4109613907781655e-05,294.84412634605866,1.465244067462041e-05,19.36726729048263,0.008834107645795916,2.7035777483382817,1.1352853200374941e-08,2.2823340441650383e-11,579.8164404126745
3.7199999999999998,3.1834200953275146e-05,294.8441263578997,1.8606129258669104e-05,21.51727499062892,0.009421762848919449,2.8651466305866826,1.5533200101728007e-08,3.0357960115956644e-11,579.8104168284142
3.84,4.168428923336771e-05,294.84412637232555,2.341328231007883e-05,23.747972591380336,0.010027645394068883,3.0295877413104297,2.106682547359757e-08,4.0003559931239084e-11,579.8043993124347
3.96,5.415252125972892e-05,294.8441263897661,2.9213146458620964e-05,26.039101967463136,0.010651696253941034,3.1967165396598145,2.8335795815983896e-08,5.225283795850243e-11,579.7983878587879
4.08,6.982395906476451e-05,294.8441264107001,3.6160233938985153e-05,28.367676562066226,0.01129385705912073,3.3663475625274213,3.7814979032413054e-08,6.7691419079071e-11,579.7923824615613
4.2,8.938878876801202e-05,294.8441264356582,4.4425081371082977e-05,30.70846825802148,0.011954070081040711,3.5382947738736275,5.009093640311736e-08,8.70127659750798e-11,579.7863831148836
4.32,0.00011365589638007113,294.8441264652261,5.419496858565298e-05,33.03469141766751,0.012632278223367472,3.712371922692874,6.58839043827253e-08,1.1102934617234209e-10,579.7803898129297
4.4399999999999995,0.00014356720278810745,294.8441265000473,6.567459282825602e-05,35.318885155619846,0.013328424990021955,3.888392906618051,8.607319254044179e-08,1.4069394550738484e-10,579.774402549925
4.56,0.0001802126383709639,294.8441265408237,7.908669429664509e-05,37.533975077871276,0.014042454463246368,4.0661721392288275,1.1172648288088019e-07,1.7711605108845343e-10,579.768421320152
4.68,0.00022484555349763826,294.84412658831974,9.467263259897142e-05,39.65444549507206,0.014774311278462834,4.245524919126714,1.4413310831041884e-07,2.2157997642104285e-10,579.7624461179561
4.8,0.00027889837513163986,294.84412664336736,0.00011269290241087291,41.65753621529362,0.015523940577247855,4.426267798697514,1.8484145033627968e-07,2.7557113580274777e-10,579.7564769377528
