Time-Course Task

Problem Description:
    AutomaticStepSize: 0
    StepNumber: 1000
    StepSize: 0.25
    Duration: 250
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Start in Steady State: 0
    Use Values: 0
    Values: 

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-06
    Absolute Tolerance: 1e-12
    Max Internal Steps: 100000
    Max Internal Step Size: 0


Time-Course Result:

# Time	EpoRJAK2	EpoRpJAK2	STAT5	CIS	SOCS3	p12EpoRpJAK2	SHP1	CISRNA	SOCS3RNA	CISnRNA1	CISnRNA3	SOCS3nRNA1	SOCS3nRNA3	npSTAT5	CISnRNA4	p2EpoRpJAK2	SOCS3nRNA4	EpoRJAK2_CIS	SOCS3nRNA2	CISnRNA2	CISnRNA5	SOCS3nRNA5	pSTAT5	p1EpoRpJAK2	SHP1Act	
0	3.97622	0	79.7535	0	0	0	26.7251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.25	3.89831	0.0683351	79.7381	3.82294e-19	3.00377e-15	0.000316726	26.725	3.78545e-18	1.73588e-17	3.87626e-05	1.68193e-09	3.07846e-10	6.85447e-13	4.97539e-05	8.68186e-12	0.00701945	2.55914e-14	-1.95824e-27	1.58354e-11	2.79539e-07	3.92494e-14	8.39814e-16	0.0153343	0.00223775	6.56275e-05	
0.5	3.82195	0.119285	79.6907	1.94616e-16	1.34497e-12	0.00228955	26.7248	9.6102e-16	7.75869e-15	0.000615204	1.05668e-07	4.67918e-09	3.91455e-11	0.000399133	1.08765e-09	0.0250545	2.86604e-12	2.35236e-28	4.64148e-10	8.8172e-06	9.80921e-12	1.85193e-13	0.0624914	0.00763866	0.000260598	
0.75	3.74717	0.156922	79.6034	7.37794e-15	4.53973e-11	0.00699824	26.7245	2.42547e-14	2.61726e-13	0.00312978	1.18831e-06	2.28531e-08	4.01212e-10	0.00138041	1.82643e-08	0.0504245	4.31232e-11	3.69736e-27	3.26465e-09	6.65513e-05	2.4627e-10	4.11067e-12	0.149123	0.0147044	0.000582024	
1	3.67403	0.184353	79.4567	9.69738e-14	5.33696e-10	0.0150544	26.7241	2.39016e-13	3.07596e-12	0.010115	6.64464e-06	7.1124e-08	2.05146e-09	0.00344696	1.35259e-07	0.0803613	2.86968e-10	3.46508e-27	1.29367e-08	0.000281991	2.42047e-09	3.58059e-11	0.294471	0.0224201	0.00102695	
1.25	3.60263	0.203957	79.2161	7.15191e-13	3.53247e-09	0.0267334	26.7235	1.4116e-12	2.03558e-11	0.0257568	2.54731e-05	1.75036e-07	7.22105e-09	0.00729959	6.42147e-07	0.112786	1.22859e-09	4.63397e-27	3.78021e-08	0.000877252	1.42726e-08	1.8768e-10	0.532423	0.0301161	0.00159228	
1.5	3.53308	0.21756	78.8311	3.66833e-12	1.63141e-08	0.0420693	26.7228	6.04843e-12	9.39988e-11	0.0568191	7.72751e-05	3.74588e-07	2.02101e-08	0.0140314	2.30965e-06	0.146141	4.00195e-09	4.79818e-27	9.18471e-08	0.00225808	6.10923e-08	7.16704e-10	0.912733	0.0373677	0.00227475	
1.75	3.46554	0.226563	78.2358	1.46752e-11	5.89667e-08	0.0609241	26.722	2.08227e-11	3.39728e-10	0.113986	0.000200202	7.31575e-07	4.85604e-08	0.0252721	6.88034e-06	0.179268	1.08488e-08	4.67726e-27	1.97636e-07	0.00512177	2.10166e-07	2.20893e-09	1.5003	0.0439227	0.00307088	
2	3.40017	0.23205	77.3514	4.90341e-11	1.7866e-07	0.0830381	26.7211	6.12079e-11	1.02926e-09	0.213577	0.000463331	1.33831e-06	1.04784e-07	0.0433132	1.78991e-05	0.211312	2.58158e-08	4.39556e-27	3.90449e-07	0.0106158	6.17445e-07	5.84116e-09	2.37231	0.049649	0.00397692	
2.25	3.33715	0.234856	76.0915	1.42999e-10	4.74266e-07	0.108066	26.7201	1.59736e-10	2.73212e-09	0.379525	0.000985296	2.32672e-06	2.08794e-07	0.071191	4.20601e-05	0.241651	5.57762e-08	4.29511e-27	7.23552e-07	0.020557	1.61069e-06	1.37821e-08	3.61302	0.0544965	0.00498884	
